,num-nodes,avg-chain-length,std-dev-chain-length,avg-stale-rate,std-dev-stale-rate
0,40,13.45,3.3166247903554,0.037465,0.048337687955911555
1,60,17.875,3.4641016151377544,0.0320425,0.03396187823246711
2,80,23.425,4.242640687119285,0.050975000000000006,0.02997761344223899
3,100,28.2,4.69041575982343,0.0572075,0.03936529375686281
4,120,31.625,4.123105625617661,0.0725625,0.04100184916092669
5,140,33.475,3.7416573867739413,0.114175,0.04094677439473509
6,160,36.525,5.0,0.133515,0.045510807676689455
