,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
num-nodes,,,,,,,,,,,,
40,31.130666666666666,6.404458786320591,0.41168447180555556,0.07211120838012029,0.016508007488164615,0.007235696055149935,18.538813854977043,1.1652686055738872,0.20482347949385954,0.08085464735524461,0.17902903997513536,0.007701248445534993
60,35.52088888888889,4.326261351785235,0.5581900213589286,0.22166702398883967,0.021921030227492914,0.00425152925292613,17.951292983310875,0.8716939856479498,0.36325671328342174,0.12061808730500502,0.1918914359675997,0.023665791568358057
80,49.090666666666664,9.63256134289792,1.3975565349714285,0.32432124037396526,0.026669487265692366,0.00351547277669773,18.783503143275396,0.8104874683768236,0.33447485821412937,0.07009431206649694,0.21214066398607273,0.016433899676092496
100,55.87555555555556,10.930107925325318,1.8088564717440405,0.4918716462481551,0.03173855827202505,0.00341249481478031,23.53122486626662,5.340824892004711,0.4715229558763168,0.11746160368355768,0.21960054688850877,0.014702024987737521
120,61.86222222222222,6.310500752958232,2.1785571280714287,0.562141667230618,0.052449218181202184,0.00837642511853139,23.733651587168477,2.6790400984574667,0.5984687299144134,0.18238681195682288,0.24109130261692663,0.02456075472625092
140,71.44088888888889,4.550566807729007,2.695887572168998,0.4180444932850573,0.05731171641563034,0.013676448293953048,24.149097112822332,1.586035465641151,0.5679769102342858,0.04021958269199239,0.2636541036638654,0.013173070303414884
160,63.85777777777778,24.112389520639834,40.67076689178772,50.946230994737334,0.42872442874985833,0.473068347878796,11054.690382663906,15834.248437334423,1.5039979037325986,1.2293364952838428,0.26471415108662344,0.02560339779105465
