,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,num-nodes,,,,,,,,,,,,
blk_len=20+max_inflight_blk=2147483647,20,5818.613333333334,3.4731797790761427,6.355639640000001,0.12923546747216955,0.00016942796956786313,6.123660989843431e-05,77.43989438081924,23.66805433875056,0.003978706434117761,6.093300710529364e-05,1.6962927119051174,0.0012015303194725846
blk_len=20+max_inflight_blk=2147483647,30,5741.166666666667,2.4037008503095363,10.151115500000001,0.16831534902702783,0.0004819445670346774,0.00016220298349371918,91.64702210358183,37.67340178661943,0.004071608177799536,3.218312606441669e-05,1.690648919228482,0.0005453771664898924
blk_len=20+max_inflight_blk=2147483647,40,5671.457777777778,1.168956483048061,14.012821933333333,0.2614626443936945,0.000795938346075813,0.00012260736304437524,103.73351674156766,21.565038187635956,0.0039186462352125,1.6639688612919186e-05,1.6864459349218857,0.0004615589446626092
blk_len=20+max_inflight_blk=2147483647,50,5600.328888888889,1.1766682404777722,19.05136673333333,0.24565405532368645,0.0014204334240759287,9.576522906735669e-05,104.21127807124988,11.73657213630748,0.004185612015434517,3.19439026587359e-05,1.679307454495376,0.00036596124093091117
blk_len=20+max_inflight_blk=2147483647,60,5529.484444444443,1.714154580521738,22.450641,0.19697507045471574,0.001958688970923607,0.00013365753967723993,157.96336088742154,21.059538657366147,0.004378867598185224,4.475477221665497e-05,1.672150318788063,0.0004507050814014759
blk_len=20+max_inflight_blk=2147483647,70,5472.2,6.7767478270264405,27.57103066666667,0.8051105341034439,0.0024796501781562627,9.421925094908535e-05,145.16957431117737,13.476379533072146,0.004399387287012635,9.836852735327414e-06,1.6670287669872905,0.00042005773407595204
blk_len=20+max_inflight_blk=2147483647,80,5415.993333333333,1.955243661997093,31.437719,0.48777090036241244,0.0030440795369546547,0.00016607976692917579,141.0599624912164,11.986524742383391,0.004754337850101861,7.122938188090542e-05,1.6594326257874457,0.0008234187820563852
blk_len=20+max_inflight_blk=2147483647,90,5364.222222222223,27.282642698108447,36.3521266,1.275885088455555,0.0030191406218438434,0.0013983000648951738,133.3817167759984,46.38725820117584,0.004841460359895283,9.529408552777936e-05,1.638957281371252,0.013430461785056731
blk_len=20+max_inflight_blk=2147483647,100,4752.666666666667,6.405292950191448,35.25849,1.0540044021773187,0.01637970285189053,0.02094838733959848,130.6060426551198,12.741573783347189,0.005819300741005238,0.00024591627917907335,1.442860606434581,0.004767647622873524
blk_len=40+max_inflight_blk=2147483647,20,5818.553333333333,5.004295932274127,6.593236273333332,0.24258482581940055,0.00018612623287470577,2.9247508325420435e-05,84.6609468946467,7.856353007363272,0.003963024103684066,6.937811554742081e-06,1.6960756567672854,0.0004319306972659675
blk_len=40+max_inflight_blk=2147483647,30,5745.951111111111,2.055175940922309,10.352778333333333,0.42561933843312805,0.0005311565002799749,0.00022520314394810115,84.41002573893246,34.14378215430761,0.004048516925947341,2.4258007234170007e-05,1.6906481775948332,0.00040649967795875695
blk_len=40+max_inflight_blk=2147483647,40,5672.815555555556,2.779658918591563,13.999115333333334,0.2554945857165931,0.0008697560816906058,0.00010726758187936414,87.64239822232025,5.951963863405441,0.003906809267453483,2.4188187658587576e-05,1.6865436498789563,0.0007306230253890703
blk_len=40+max_inflight_blk=2147483647,50,5600.995555555556,3.4247227516872147,18.053650533333336,0.059081951881883546,0.0013292521095130381,0.00012253936500961144,109.38212886735558,8.296308055222802,0.004201974071959343,1.9777085282311077e-05,1.6793499275179447,0.00016059656353153756
blk_len=40+max_inflight_blk=2147483647,60,5532.488888888889,0.8914490907956926,22.408986,0.1929666792532858,0.0019407899905354118,6.274500626880337e-05,125.89673116439661,16.968553083223714,0.004372665792548822,4.11862059346498e-05,1.671889813581977,0.0004273262842050877
blk_len=40+max_inflight_blk=2147483647,70,5473.386666666668,2.83283132807695,27.373720333333335,0.93060879162708,0.002506579586121767,0.00023969969702630845,152.27892973051692,19.924347435935303,0.004446416219639524,3.167408390159758e-06,1.6671037077607824,0.0005057198076916765
blk_len=40+max_inflight_blk=2147483647,80,5414.746666666667,2.486773902960893,31.735895199999998,0.8930639592620683,0.0035247540418111797,0.00022198786935776136,162.93264431331977,8.756176133074506,0.004686339804686167,2.3327485475978556e-05,1.659468398910261,0.0008077451813535832
blk_len=40+max_inflight_blk=2147483647,90,5388.551111111111,5.894258348722159,36.2291668,0.5025869388890644,0.002726290637757955,0.00034702637954073056,107.32950812764523,24.019570147946755,0.0048827470155035045,8.920957006599696e-05,1.6458345285027718,0.006647905400128469
blk_len=40+max_inflight_blk=2147483647,100,4734.38888888889,68.2178563568655,36.1074274,1.1616993049822821,0.013935547095556384,0.005477808349102201,144.2994902911536,3.207540784042329,0.00590361699607888,8.632468376165038e-06,1.4363551121616374,0.019644052485204073
