,validator_0_ecores,rewards,hash_power
0,1,0.01757215619694397,0.025
1,2,0.07558811557435846,0.04878048780487805
2,4,0.14608010711616023,0.09302325581395349
3,6,0.2687031058587541,0.13333333333333333
4,8,0.3090614220404274,0.1702127659574468
5,10,0.3312721115680735,0.20408163265306123
