type,num-faulty,pref-check-calls,pref-checks-count,checks-per-call
Basic,0,630516.4583333334,697722.8416666667,1.1079979376454288
Basic,2,596434.8464912281,664755.654385965,1.1154103556510218
Basic,4,630864.1898148148,703998.4657407408,1.11689249926535
Basic,6,648040.6862745098,727926.6205882353,1.1236473887593528
NoCache,0,213444.29166666666,4279078.8375,24.210645570120505
NoCache,2,201983.8596491228,4124570.9614035087,24.610134203408126
NoCache,4,175878.26388888888,4250208.421296297,29.562277940170862
NoCache,6,145551.61764705883,7532235.157843137,61.361568956994546
