per-node-concurrency,num-nodes,avg_tput,avg_cpu,deliver_late_chance,deliver_late_dur_ms,sched_dur_ms
1,600,6035.983333333333,27.146224,5.595939797255621e-05,42.37750919838435,0.28670014745460515
1,640,6032.389999999999,28.616084533333332,7.087179668064236e-05,45.78831256758563,0.30045370703804103
1,680,6016.22,30.227115466666664,8.428495448938832e-05,52.383676090315646,0.3171720494186781
1,720,6007.399999999999,32.1001664,8.246503828288473e-05,53.84464612881805,0.33811068436129954
1,760,6004.46,33.70899886666667,8.559437673011783e-05,58.43619246640168,0.36660112869108435
1,800,6012.3,35.4554008,8.836112272610875e-05,54.47759331239112,0.3848468106263007
1,840,5996.62,36.74011073333333,0.00017960979225796004,101.89112041900809,0.45375138330896475
1,880,5982.900000000001,37.98879933333333,0.00023367124500411774,129.92502933779545,0.49004519821188186
1,920,5938.8,39.5072616,0.00025209461132825165,200.01154251838344,0.6834451375735376
1,960,5761.175,41.6454465,0.00026567934413755596,291.8433219421326,1.307677690825197
1,1000,5848.150000000001,42.9831475,0.0002626080906742722,267.74407980316994,1.140654205315015
2,600,11961.716666666665,56.299928944444446,7.82548215633248e-05,49.84180743458307,0.26023903952345895
2,640,11964.983333333332,59.03697033333333,8.827302258321107e-05,60.67840263058881,0.2737357384716615
2,680,11980.5,61.248364277777775,8.976140886169977e-05,58.90334739433203,0.28286827180245183
2,720,11964.166666666666,63.01059877777777,8.757153073269386e-05,57.735062851751934,0.28996050498595105
2,760,11977.233333333332,63.771208666666666,8.855409331626371e-05,68.43255480242301,0.29718907744391315
2,800,12022.966666666667,64.41900733333334,0.00012289210341796794,54.0340207179664,0.309263632079077
2,840,11851.466666666667,64.41180733333333,0.00037883989639737317,148.46532433698243,0.3608598911440111
2,880,11550.933333333334,64.03165722222222,0.000777001431712364,209.25559999591917,0.42369059451874547
2,920,11593.4,64.47442133333332,0.0006862021059895634,234.4537337807311,0.6166180382844965
2,960,10922.1,62.97301566666667,0.001948865223713037,205.13987345195847,0.9008924707886724
2,1000,11096.050000000001,64.38816383333334,0.0011200743238547566,211.3230089839368,1.1255211691974127
