,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
num-nodes,,,,,,,,,,,,
40,17.762637362637363,2.7911291846396473,0.08932651140347223,0.07756432332602366,0.021169371007637987,0.009073056716993677,17.658186019776117,3.0798770557302495,0.5831406313688307,0.36316491541303175,0.19051090017323283,0.01555620883376124
60,29.60439560439561,6.6928926646664735,0.45835729074385717,0.17744007110050036,0.018672294121628217,0.006159301648811464,17.5381772841901,1.2103186096137102,0.6321495009317167,0.1720300118568078,0.22204068904690272,0.012742781566804287
80,32.762197802197804,4.753121728244168,0.6016967092198717,0.07157279260366135,0.02538649744257958,0.00756954477270807,17.887249984360956,1.1472610581263702,0.802589051269625,0.049514096637152366,0.2456364119510198,0.01725328833949502
100,35.92,6.4559005081094165,1.01825999646798,0.29694782634262407,0.029999590343957862,0.007558364890805517,18.973561067260484,1.1210790815172509,0.930887943632742,0.2294093347368792,0.25318657216700186,0.015496637468231263
120,43.8145054945055,3.796346129094698,1.6108165575106494,0.49517920458915915,0.0372939101947586,0.008667447155792058,19.75781397477008,1.2053757230343225,1.1084220115711034,0.19281806867347945,0.290708450614064,0.027901571402351572
140,48.15648351648352,4.543629125728688,1.518735220569697,0.5197045482815296,0.07055273854836705,0.012890835123303837,24.16115483910686,2.7340539858930955,1.5813126699480182,0.23324620509129879,0.31810546862363004,0.013841790178651992
160,52.89318681318682,9.608135364646156,1.893059811155641,0.5330479105515639,0.09911729567245686,0.021104331519797136,27.80866796168088,2.7284530857798397,1.6375932968543903,0.3589789642907776,0.33373512463324484,0.027179529023042437
180,60.7876923076923,10.005331944054193,3.19607805676645,1.0901195878119025,0.11218076855206487,0.016689779227489775,30.759212474702174,1.2424043759301582,1.7447082871964408,0.6276225255893335,0.35057562267242076,0.036599803427555054
200,65.91912087912088,6.921775283183147,3.357739881229697,0.7317101395192322,0.1527853245208041,0.014202343527194652,36.245807137010345,1.617156268402981,1.6934465368860494,0.360846562595851,0.3690988950967215,0.03491658282737231
220,65.12967032967033,5.582258369279292,3.841752705457343,0.9232053090324592,0.2466045757032298,0.24809156854382372,73.91433433130828,81.27233393516998,2.1057046858242607,0.3619630308655616,0.37757004245013587,0.024662172127064813
240,71.05054945054945,5.920879120879119,3.7685918925358974,0.7148040015850085,0.16033164458919494,0.019624519779599198,42.28995744467092,0.5821115686818831,1.9606448243056391,0.3379761222714675,0.4164738581796203,0.017013429198600917
260,78.1556043956044,6.9217752831831465,9.41174564938634,10.478355448538915,0.14263947042936392,0.02201927266091939,3093.1401655578948,6810.191251647561,1.8759012451611832,0.3460741063873315,0.4355484017171136,0.02187518253213692
280,80.12923076923077,7.197650598185406,5.061229983492308,0.6213952878908148,0.14572029800392902,0.03631282752695925,48.566175683654095,4.169450257894809,1.9201372983001488,0.12948947935693736,0.4401667355712968,0.014910796815046696
300,80.12923076923077,2.2502802895363208,4.747039238423077,0.6493127034156873,0.17914733500738103,0.020235376280075133,53.703002767433944,1.7740747570617539,2.291399768503253,0.23014905119482465,0.4825191860976382,0.016960694685195284
320,80.12923076923077,9.001121158145283,5.485209009808791,1.0899342353405308,0.1541923667013792,0.025917417986871756,55.60138546465591,3.092575074785398,2.345949705520961,0.3497692879492511,0.49571951044667645,0.03862389959890365
