,,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
chain-type,correct-config,num-nodes,,,,,,,,,,,,
aptos,narwhal_blk_size=1048576+diem_blk_len=1,4,35945.61666666666,1336.2379261485535,10.274867944444445,0.573809959513027,0.0,0.0,0.0,0.0,0.11695806327721403,0.008570996813409414,10.597727949854425,0.16453099522587886
aptos,narwhal_blk_size=1048576+diem_blk_len=1,8,23358.32777777778,4454.69352027017,19.080346703703704,0.6744972511385033,1.4974610547816177e-06,2.593678629237444e-06,4.029294,6.978941926632432,0.08457462144736638,0.009699881804979061,7.783383696193094,0.3886753637347517
aptos,narwhal_blk_size=1048576+diem_blk_len=1,12,21382.716666666664,3343.070809442186,26.674245958333334,1.517444854066297,8.728907384214112e-06,1.008328151210038e-05,12.479434074074073,10.835997902485197,0.19726826123900384,0.0016974560095501358,7.378744185126192,0.47114153912129886
aptos,narwhal_blk_size=1048576+diem_blk_len=1,16,14182.71111111111,255.9909906907175,30.57663225,0.011929726759755028,0.0,0.0,0.0,0.0,0.2884025277582471,0.01584272831193866,6.175320934013217,0.10405581649464384
aptos,narwhal_blk_size=1048576+diem_blk_len=1,20,12656.822222222223,650.7141694863964,35.107818,0.10266906196282988,1.510522678609866e-06,2.616302025337322e-06,3.935342222222223,6.816212674059902,0.3963725083245084,0.013066220162380432,5.593913255386055,0.1581883519189767
aptos,narwhal_blk_size=1048576+diem_blk_len=1,24,12772.27777777778,989.4419039052804,42.002899791666664,0.5955882383025356,2.09110312479639e-05,4.37679311264414e-06,23.551516320117795,16.25763272894213,0.4812845407978859,0.06681734461770884,5.5916021140911925,0.1702471987398525
aptos,narwhal_blk_size=1048576+diem_blk_len=1,28,12113.922222222222,679.717446470986,83.88034533333332,0.9025559349233366,0.0003402418296652978,0.0002058324855831298,19.732381910464927,0.5041646887582205,1.3249956266778582,0.0845198861063945,8.288979877904469,0.16695390245482244
aptos,narwhal_blk_size=1048576+diem_blk_len=1,32,12240.300000000001,549.5026397671905,89.71159666666667,0.5921306752173383,0.0028182894559246464,0.0005382774938563643,47.892907737822554,15.618376587374177,2.3919613095805423,0.4758975413305955,7.842355066926203,0.1784383780845424
aptos,narwhal_blk_size=262144+diem_blk_len=4,4,33974.73333333334,301.8064791109298,8.77989025,0.23701620656925712,0.0,0.0,0.0,0.0,0.03463327399661618,0.00015700577149261298,11.161919360503788,0.013854269160242882
aptos,narwhal_blk_size=262144+diem_blk_len=4,8,43820.34444444444,612.8042106971407,20.56349011962963,3.1618491239208333,5.117379901490437e-07,8.863561991013254e-07,3.3576783333333338,5.815669468806522,0.10121335366090685,0.0022024148928437228,10.948617652675678,0.341676839344196
aptos,narwhal_blk_size=262144+diem_blk_len=4,12,43124.97777777778,498.0700966768681,36.32019714814815,0.16583314573599509,1.418359580141221e-05,1.0871640995457117e-05,16.15635142917203,3.9350881137641434,0.1109917957509522,0.0059585837033937425,11.024861037559534,0.019710429550962544
aptos,narwhal_blk_size=262144+diem_blk_len=4,16,35271.81666666666,929.3100357254323,40.602380555555555,0.778414482141197,1.0716197533347417e-06,4.3053002335296033e-07,10.959131966666668,0.1118420865971457,0.15217010591225857,0.008545654571370367,9.728566144025045,0.35360718978695604
aptos,narwhal_blk_size=262144+diem_blk_len=4,20,28559.399999999998,1159.44298911158,46.104583874999996,0.11326012156977253,2.1530691456478394e-05,1.2976956637036945e-05,14.949343390065682,3.5604709216593244,0.22537807351988787,0.004048462980607922,8.212850760714687,0.06598496377427394
aptos,narwhal_blk_size=262144+diem_blk_len=4,24,25038.533333333336,1011.5039818398001,55.39020466666667,0.8587757718942618,6.374484144749304e-05,9.045049912016703e-06,15.410245751080415,0.2860977274391626,0.2921283311740463,0.005105707784319894,8.132633900518362,0.23896850713028628
aptos,narwhal_blk_size=262144+diem_blk_len=4,28,23975.455555555556,1496.3098633094155,66.62373333333333,0.34716732569948533,0.0003549513384155524,9.136461849758994e-05,19.30456251459989,2.9889568410308085,0.40883338366018274,0.01683875050998522,10.146223088977555,0.10076851706101869
aptos,narwhal_blk_size=262144+diem_blk_len=4,32,18335.61111111111,2383.5147335006786,76.21840666666667,1.2108832688716693,0.0014267271139877132,0.00019102084095932968,25.392632359190504,1.7212462958425079,0.7331857398094654,0.025347596044110913,9.630355054513869,0.11173898660368438
aptos,narwhal_blk_size=65536+diem_blk_len=16,4,14079.166666666666,50.34494347333474,3.713541685714286,0.0930374975320725,0.0,0.0,0.0,0.0,0.01785219314093014,0.00033688129405338486,7.498646849671783,0.003464183480669527
aptos,narwhal_blk_size=65536+diem_blk_len=16,8,23565.8,96.42034277059985,13.5474216875,0.12392230394521406,5.810450327331719e-07,1.0063995181793753e-06,3.389345,5.870517744379536,0.02218978467339305,6.116912559211948e-05,9.687150216682133,0.01566370891161694
aptos,narwhal_blk_size=65536+diem_blk_len=16,12,28154.7,32.70000000000027,24.730773666666664,0.27107294686720346,1.769532423698784e-05,2.486373266470585e-06,13.152710984649124,0.9811786659077861,0.04807423166162724,0.0009743285386825132,10.22376560785384,0.03141593571683002
aptos,narwhal_blk_size=65536+diem_blk_len=16,16,32759.622222222224,139.5569898855893,39.124670333333334,0.35989251030460156,1.6816866744802137e-05,4.211821801395776e-06,13.517191703394587,0.31259940665821817,0.08454372815371776,0.003040523701846242,10.560063334838723,0.02707970876001298
