,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std
num-nodes,per-node-concurrency,,,,,,,,,,
4,16,3071.111111111111,5.0917507721734365,3.673735641666667,0.03813738052562675,0.0,0.0,0.0,0.0,0.027791733861746173,0.00181590463279689
8,16,2906.666666666666,3.3333333333333144,4.262480375,0.03610210430539311,0.0,0.0,0.0,0.0,0.03029944087870895,0.0009483407473231969
16,16,2507.777777777778,8.388704928078676,5.485067558333334,0.29294702206873513,0.0,0.0,0.0,0.0,0.03234619375019218,0.0020258627955112695
32,16,2076.6666666666665,0.0,6.6843532083333335,0.01736030013076439,0.0,0.0,0.0,0.0,0.06330940136506752,0.0004956186783019425
64,16,1466.6666666666667,5.773502691896126,8.731991958333333,0.141812289565971,0.0,0.0,0.0,0.0,0.2005403471095224,0.011198649825815154
96,16,1094.4444444444443,8.388704928078706,10.186698125,0.5543127388597553,0.0,0.0,0.0,0.0,0.38868140437784504,0.054366181817049886
128,16,867.7777777777777,1.924500897298791,10.975618333333335,0.08059615788544712,5.54027781974958e-05,9.596042671853198e-05,6.7000702121212115,11.604862021672723,0.5508551801054061,0.010094212280581587
