per-node-concurrency,num-nodes,avg_tput,avg_cpu,deliver_late_chance,deliver_late_dur_ms,sched_dur_ms
1,40,87048.5,27.329898,4.6765569491697944e-07,11.400819250000001,0.00918262223685102
1,80,86769.2,52.46316007407407,6.252082160261498e-07,15.296132638888887,0.01081999824205361
1,120,86611.42,62.058516266666665,1.0613454840693417e-05,14.786109734784949,0.015484824025497447
1,160,85430.27500000001,70.33333383333333,1.7927250716146242e-05,13.612041436682366,0.03729661613405431
1,200,85566.25,76.342674,4.245317023661272e-06,12.483421994708996,0.04299401372971762
1,240,81798.15000000001,88.32585916666666,3.855145002489083e-05,12.781051168960895,0.1505517291412026
1,280,75332.59999999999,97.19902,0.0003636111971654021,13.498706156433785,0.4277246418043588
1,320,64160.6,96.77817166666667,0.00102887942843378,13.972901621021785,1.0806797352236928
2,40,87118.73333333332,27.246326185185183,4.675050144135919e-07,10.93553275,0.011020150006113514
2,80,86631.93194444444,52.22110967592593,1.2017855324812743e-05,14.570486189654561,0.022469636769501963
2,120,86187.08,61.59827926666666,5.178746208297128e-05,15.682616146183497,0.03715911212607064
2,160,85182.825,69.95819333333334,4.9578760248824525e-05,13.934892932158123,0.06805770141054224
2,200,85056.65,76.28058433333332,8.377633717024897e-06,12.491599400944933,0.08388764750526367
2,240,80649.09999999999,87.81039333333332,0.00012717619100690775,13.251312999049313,0.24986350032710827
2,280,72818.90000000001,96.98416466666667,0.001183322546192518,14.817136545600496,1.2583171321018145
2,320,63430.5,96.43643333333334,0.0024225424362782828,15.086362403915123,1.7983964947235471
