crypto,num-nodes,avg_tput,avg_cpu,deliver_late_chance,deliver_late_dur_ms,sched_dur_ms
dummy,10,11541.67901234568,57.859889629629635,0.0,,0.021204349570312267
dummy,20,11850.765432098766,79.64525762962963,1.33197736842788e-06,25.05807789644739,0.04346586393074755
dummy,30,8937.827160493827,91.06724392592594,3.446286081220707e-05,41.3927836259303,0.11996874959185443
dummy,40,7229.481481481482,95.81987581481481,0.00016400344368638401,171.5429289503162,0.29336217160322503
dummy,50,6131.506172839506,97.2212005925926,0.000504549933779079,48.63969079419244,0.45828842940837244
dummy-ecdsa,10,4641.62962962963,24.351522962962964,0.0,,0.012510403755571694
dummy-ecdsa,20,4659.555555555556,50.07735288888889,4.131099431354654e-07,11.2454085,0.016058346757377422
dummy-ecdsa,30,4953.6790123456785,61.52648537037038,2.3546533187472738e-05,52.65520635896923,0.019227307486929666
dummy-ecdsa,40,5006.765432098765,72.94383781481481,9.954215842428774e-05,187.9520252944944,0.030445117357812312
dummy-ecdsa,50,4839.308641975309,87.32629566666667,0.00012704677763343572,183.3043431914019,0.056843853616838524
dummy-ecdsa,60,4481.728395061728,95.35654974074073,0.0001824558141262226,182.73208299531078,0.11316278546000282
dummy-ecdsa,70,3941.9259259259265,97.40272040740741,0.00028143153276744703,148.5468272709705,0.23030732084784913
dummy-ecdsa,80,3448.444444444444,97.24175259259259,0.0007414165218921813,83.34259447651074,0.36903815228189685
