,,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,crypto,num-nodes,,,,,,,,,,,,
blk_len=40+max_inflight_blk=2147483647,dummy,100,4749.748888888888,113.9634990947805,39.63693326666667,0.48128988809508505,0.3399254802784591,0.2055629060162521,326.03153755996874,163.2476962287727,0.024101775144070203,0.004719072949906869,0.2054674662679843,0.012210747650613684
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,20,5816.055555555556,1.782112770260536,6.4853298,0.39032432478179585,0.0002255212059766756,7.33548212295719e-05,89.12653476059837,57.48718130038403,0.0038653936691065306,6.980224643713441e-06,1.697111668636931,0.0005089229022511886
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,30,5739.177777777778,2.0166896233774683,10.4980866,0.49205768845714704,0.0006449273754303742,0.00013514000035431565,79.95412874807874,11.229958091341038,0.0041346035398928385,1.0020986299480346e-05,1.6902070370585944,0.00013652053302668825
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,40,5665.442222222221,2.495331938135802,14.428050266666666,0.6419324121985529,0.0008883819956343441,6.580736955906049e-05,111.49835054903717,8.392183761164727,0.004062096817517599,3.204620983134428e-05,1.6864608161358914,0.0005916958207840632
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,50,5590.217777777777,0.6741359352976948,18.6580382,0.5375826162728476,0.0012341822511214072,5.292022086634591e-05,116.09343723820616,10.058626422833187,0.0043260539542504675,1.4677381442437825e-06,1.6795710726685942,0.00032912715969684
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,60,5508.799999999999,0.1604161255399772,23.757035133333336,0.617581656119458,0.001645012697702641,2.529357635235446e-05,140.27928516329405,12.086512338274941,0.0048689637763262746,4.144508425529803e-05,1.6712086599033178,0.00023475255728576535
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,70,5434.56,4.961706695616448,28.52855373333333,0.9796120044355178,0.002384696316698573,9.576046497837354e-05,149.43187666694504,34.00808844391532,0.005630564166652335,0.00010348022968775737,1.6612615807330087,0.0007286527454101468
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,80,5382.571111111111,2.12920781651893,32.2773066,0.9178608934534487,0.002792332804766559,0.00032446605014555143,175.1646165167762,41.901602095126826,0.005569785692055704,5.980061634159373e-05,1.652931161239594,0.0001634991353335941
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,90,5126.38888888889,43.25066901644868,35.702514066666666,0.5947426732266796,0.005675470438164265,0.005567648148523518,221.6904935515902,35.15565549856898,0.005977143889560302,0.00010269891665990522,1.5581067993039373,0.019363794528633693
blk_len=40+max_inflight_blk=2147483647,dummy-ecdsa,100,4526.722222222222,51.00907689741079,35.60152780000001,0.46123898723455997,0.023930530883781016,0.03556166021698114,184.56135763981487,61.28701905163177,0.007287050375712042,0.0003443180024196365,1.3820351209720763,0.013032917492872565
