,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
script-runtime,num-nodes,,,,,,,,,,,,
0.0,4,1694.4444444444446,1.6077746776921858e-13,0.4611020272222222,0.008707872149375719,0.0003650967506389193,0.0006323661217849132,7.814153166666666,13.5345103027919,0.011937630378894962,0.0002214005540424152,1.916119716575827,0.011229639426976681
0.0,8,1668.5185185185185,3.2075014954979957,0.9816617294444444,0.032897200578101395,0.0,0.0,0.0,0.0,0.01481281631563555,0.0005062597977819013,1.9000285635317427,0.0025806265585070786
0.0,16,1609.2592592592591,3.2075014954979957,1.8298062166666667,0.025442327170179288,0.00011507487476756729,0.00011514110482922412,8.428921333333333,7.745644005648681,0.04198623022281369,0.0007063331215880285,1.946939420741894,0.0040807127941422305
0.0,32,1527.7777777777776,0.0,3.505928583333333,0.07747663928103529,0.0003521461532450231,0.00015518067099049918,16.861944896296297,8.973322775304931,0.06290473299619581,0.0005990902503216965,1.6295624095098755,0.007123600303996965
0.0,64,1366.6666666666667,0.0,6.077904105555555,0.05650135057961028,0.0012261062415260414,0.0005120053147341509,29.389414105540293,20.463419458947563,0.16218575412286199,0.0017841036239418272,1.1863402965067567,0.007562866446978147
0.0,96,1240.0,1.6077746776921858e-13,8.217521173333333,0.04696740053382778,0.003114377080885376,0.00166788681051299,57.35521020837589,42.38550010813585,0.3079303477878021,0.005230069102614184,1.0350954845833626,0.004639470990680854
0.0,128,1139.9999999999998,2.2737367544323206e-13,9.714335733333334,0.011253713816039738,0.005909491327571526,0.0006136741978526883,73.29737215711059,27.55934033263612,0.4825855031812987,0.014803306084792823,1.0098788383429707,0.027629410623272864
0.0,160,1060.0,0.0,10.906016333333334,0.01921309101272779,0.007745386145365976,0.0009378625146167051,76.90427136261907,39.20897371669149,0.6690794286214689,0.020002942474959116,1.0469847822831764,0.006031781534569788
0.0,192,988.8888888888888,3.849001794597557,11.673404666666665,0.10841320564070156,0.009956256303149773,0.0007622824394987352,73.97895111656985,12.230650329404332,0.813781547421747,0.00033616062128543207,1.0137050570359407,0.03622037272997719
0.0,224,933.3333333333334,0.0,12.4816491,0.05133091866049079,0.011502875474393904,0.0009578568458361953,76.79941706536694,14.809655649819883,0.9866957135933733,0.0346459378000722,1.0042278798138813,0.004710965764588005
0.0,256,882.2222222222222,3.8490017945974917,12.278945000000002,0.011162230295061233,0.006724800472847216,0.0008252071405178383,19.622664401724794,1.0114010403708107,1.0923527792622292,0.013994806342590517,1.0671567140694849,0.046629500441163665
0.0002,4,1011.111111111111,3.8490017945974917,0.28277578200000003,0.0045885876946302265,0.0,0.0,0.0,0.0,0.013008495001818507,0.0009731924078988319,1.4100401840838377,0.014762368295856244
0.0002,8,1002.2222222222222,3.8490017945974997,0.6014843873333333,0.003398131826103476,0.0,0.0,0.0,0.0,0.014788157575749009,0.0006503937393390875,1.4067210127553267,0.0028113313239447554
0.0002,16,980.0,0.0,1.1705819533333333,0.002094000643393742,0.0,0.0,0.0,0.0,0.0418605873077564,0.0005982414936066157,1.4451810706738997,0.002203242457610463
0.0002,32,946.6666666666666,8.038873388460929e-14,2.2407815733333334,0.03767021400707104,0.0007877280451656544,0.00012479548281061001,14.226934049603175,1.0757843019865585,0.06477595135560339,0.0005586740913903253,1.265631703015518,0.01856308602712026
0.0002,64,882.2222222222222,3.8490017945974917,3.839499913333333,0.05560863873234923,0.001542290500946665,0.00038896692198759286,12.821169262626263,0.45849341203496013,0.16688887439003944,0.0020934586119195596,1.0264843458945057,0.02101268507263358
0.0002,96,828.888888888889,3.8490017945974997,5.1801870333333335,0.0412179385367555,0.0023573766544778556,0.0006536949158538466,12.614382654026565,0.46773808001150957,0.3324679672264021,0.006201510901791136,0.9520985371269358,0.0018306713529026644
0.0002,128,786.111111111111,4.811252243246895,6.297578791666666,0.12669070180924982,0.0038534025066041615,0.0010629789378201302,13.873087146348213,0.8664348609627724,0.5146810334372867,0.007890179051625274,0.9148601638839832,0.0034110630919323513
0.0002,160,750.0,0.0,7.216123949999999,0.014590664209328568,0.004849122687036498,0.0012161980482544353,15.389537764533076,0.6885976292293027,0.6872379925423758,0.008038288257305726,0.9221963476976102,0.0009907526419318112
0.0002,192,713.888888888889,4.811252243246887,8.027543366666666,0.009407561304488702,0.005048683945322169,0.0005790282475930976,16.624795337662338,1.3637747910836189,0.860713320936902,0.02025882605909958,0.9624750521374515,0.028923743276387533
0.0002,224,680.5555555555555,4.811252243246944,8.648913791666667,0.032225132287436085,0.006991677776983721,0.0001438560037192094,17.947735213690564,1.2606143400726821,0.9932460686331964,0.014784252480902194,0.9892305905297373,0.026900411855581757
0.0002,256,652.7777777777777,4.811252243246829,9.403640916666667,0.03412778466416123,0.009734735720290466,0.001661077537087855,22.039613583962808,3.6699024183650644,1.178842808123377,0.03254043384014998,0.9965186013186408,0.0424592184453877
