script-runtime,num-nodes,build_time,propose_time,validate_time,vote_time
0.0,4,0.22610443118501175,0.07370163755555555,0.22318369774974323,0.036281779888888886
0.0,8,0.22703636761656543,0.08070406299999999,0.22325858007863175,0.03419742544444444
0.0,16,0.22941571792908458,0.09455001844444444,0.22343895568301844,0.03340737444444445
0.0,32,0.22569013714156658,0.12119035211111111,0.21681593350546988,0.03343534811111111
0.0,64,0.20173593643269652,0.17225811711111108,0.19111515265169043,0.033673735333333336
0.0,96,0.18772855247397158,0.22114832799999998,0.17243167633711565,0.03390658833333333
0.0,128,0.18448548438965706,0.26735064399999997,0.16847101098776585,0.03411497433333333
0.0,160,0.17863564322836747,0.3131437292222223,0.16447919532632058,0.03415717733333334
0.0,192,0.17418300310907567,0.35541229533333335,0.16155467040233873,0.034158871
0.0,224,0.16891808101365477,0.3965504332222222,0.15713604670552306,0.034307837555555554
0.0,256,0.16640444337479673,0.43417716722222227,0.15479742537823674,0.034291807555555553
0.0002,4,0.4067921498189701,0.07238329566666667,0.40387323897854427,0.03573029133333334
0.0002,8,0.40810599417062265,0.07825807066666667,0.40396994425742433,0.034267117444444446
0.0002,16,0.4085384150286863,0.09093247188888888,0.4024219189373112,0.033562930444444444
0.0002,32,0.3745809524704216,0.11404915266666667,0.3666813569000003,0.03322484966666667
0.0002,64,0.3150496665346892,0.1585373247777778,0.3078692539282572,0.033643464000000005
0.0002,96,0.2877240109610282,0.2008680071111111,0.27520793109132635,0.03374072522222222
0.0002,128,0.28151568948539313,0.24083656022222222,0.2694220615527799,0.03391200955555556
0.0002,160,0.2760133313523228,0.27904354755555555,0.2654120270888425,0.03410689622222222
0.0002,192,0.2692091264332503,0.3147541428888889,0.2587650063626268,0.03415953133333333
0.0002,224,0.26648377130360096,0.3485128192222222,0.25608368378431107,0.03408516977777778
0.0002,256,0.261055323497925,0.3815296527777778,0.2510056966417363,0.034164799
