,validator_0_ecores,rewards,validator_0_ecore_util,validator_ecore_util,comp_power,hash_power
0,1,0.013230994152046783,0.29036325050912026,0.2880943313870904,0.025,0.024922308090868695
1,2,0.03684265010351967,0.3162336233469446,0.2981348781669149,0.04878048780487805,0.05794799860752023
2,4,0.15186243386243387,0.3213367378325212,0.2964559802551025,0.09302325581395349,0.11822082607120583
3,6,0.13907634699396715,0.3332549923746323,0.3034459373133411,0.13333333333333333,0.17259636948780052
4,8,0.2391631037040685,0.35250222968306993,0.3227440434485797,0.1702127659574468,0.22452701057920416
5,10,0.32207407407407407,0.36245535083057073,0.34324697129193266,0.20408163265306123,0.2733984425419991
