,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,num-nodes,,,,,,,,,,,,
narwhal_blk_size=1048576+diem_blk_len=1,4,48634.03333333333,1954.602993790129,10.934758333333333,0.259027382935344,0.011700901668712288,0.002624161818737527,15.089487196896622,0.33954341737547555,0.04652323025837515,0.005481817669108327,13.030442551635128,0.14755323997983558
narwhal_blk_size=1048576+diem_blk_len=1,8,34612.35555555555,1279.3034660111523,23.51497566666667,0.6128657990803008,0.013664838460366592,0.0021924566019807822,128.52084189027252,195.69555821132585,0.04156225004274594,0.004602898646754132,11.186971250024305,0.1699695152709057
narwhal_blk_size=1048576+diem_blk_len=1,12,32385.55555555555,227.05047489082116,34.19705266666667,0.7230153063395905,0.013105569340120133,0.006616029339332453,286.8724020972431,240.97567922329011,0.040707377112147,0.0004028969422238601,10.916861188494778,0.04867724943152648
narwhal_blk_size=1048576+diem_blk_len=1,16,27886.5,1613.3429982492873,47.12032233333333,1.5188777845647543,0.014502367616972779,0.00553028093346737,253.34042140296432,283.08996173808964,0.06576258831708745,0.013408167462100001,10.101929124001385,0.190438743431013
narwhal_blk_size=1048576+diem_blk_len=1,20,20560.777777777777,2276.85684670125,58.034296000000005,0.4456069070694505,0.0533716331756105,0.02521495044213146,825.0280262929422,27.22476690456404,0.12527984678605456,0.03733969950801719,9.014172504462483,0.46141611251963965
narwhal_blk_size=1048576+diem_blk_len=1,24,20289.011111111115,1274.0211546880196,68.35830866666667,2.2880089242363844,0.06574487622164739,0.024525430133573195,708.1809944913975,268.7542277864516,0.26310860944706277,0.00645667639173017,8.998075772318844,0.13420912184758554
narwhal_blk_size=1048576+diem_blk_len=1,28,14714.5,3111.539694070731,78.11698,2.1736445917628724,0.09633310321396744,0.009802465884296974,712.9622205192085,281.30086207576323,0.38184383139184286,0.15023728554728158,8.262750874284956,0.4796526523409681
narwhal_blk_size=1048576+diem_blk_len=1,32,8073.844444444444,1829.944339570449,84.74547533333333,1.7691741645709553,0.14570369833206917,0.01862420840544772,437.42211151257965,94.95705302932588,0.734427303558652,0.02719549638053158,7.382946723307171,0.09932848104307986
narwhal_blk_size=1048576+diem_blk_len=1,36,7263.877777777777,628.8541831805716,85.3191,2.8978673036044973,0.1678772788379458,0.020795254367420263,466.553148474579,103.8399930993779,0.48691381444292986,0.14500468201186167,6.767732207140162,0.16596306926541654
narwhal_blk_size=1048576+diem_blk_len=1,40,6331.11111111111,618.6930044082469,86.26679166666668,1.0228525433112652,0.2411905852744206,0.008930465405160754,563.9139918450563,54.64673231306906,0.8888766442854013,0.24734394928499895,6.436356677257656,0.19511297450434115
narwhal_blk_size=1048576+diem_blk_len=1,44,6361.38888888889,1250.0460890762447,89.54886800000001,1.1704820540836933,0.28280423498306656,0.010785732248083175,780.2114427411144,96.41544156123551,1.1446497850575181,0.21623148068427797,6.498829952307903,0.17326783383740513
