correct-config,num-nodes,txns-sent,txn-validation,block-management,block-dissemination,decide,commit
narwhal_blk_size=262144+diem_blk_len=4,4,2561603.3333333335,2558860.0,1590138.4156358074,1578033.3018420264,1561603.3333333333,1561603.3333333333
narwhal_blk_size=262144+diem_blk_len=4,8,2744020.0,2739161.6666666665,1831874.1170233556,1730942.465320531,1744020.0,1744020.0
narwhal_blk_size=262144+diem_blk_len=4,12,2705159.3333333335,2699602.6666666665,1840986.1033202633,1811805.4660338797,1705594.3333333333,1705594.3333333333
narwhal_blk_size=262144+diem_blk_len=4,16,2550346.6666666665,2547034.0,1940053.6749829578,1904555.952250642,1552086.6666666667,1552086.6666666667
narwhal_blk_size=262144+diem_blk_len=4,20,2488598.0,2486156.3333333335,1985172.8464977646,1941968.5563764104,1489033.0,1489033.0
narwhal_blk_size=262144+diem_blk_len=4,24,2428185.6666666665,2425082.0,1991434.644944759,1957711.8305219596,1428185.6666666667,1428185.6666666667
narwhal_blk_size=262144+diem_blk_len=4,28,2284546.0,2282574.3333333335,1949641.556084603,1892504.2720476845,1284546.0,1284546.0
narwhal_blk_size=262144+diem_blk_len=4,32,1997630.6666666667,1996442.6666666667,1806894.8871948675,1745968.7445219306,998065.6666666666,998065.6666666666
narwhal_blk_size=262144+diem_blk_len=4,36,1914813.6666666667,1912977.0,1770222.5540853275,1711598.277650154,915469.0,915469.0
narwhal_blk_size=262144+diem_blk_len=4,40,1834763.6666666667,1833634.6666666667,1710802.7151096417,1647501.8327087387,835198.6666666666,835198.6666666666
narwhal_blk_size=262144+diem_blk_len=4,44,1821144.6666666667,1818808.0,1697031.8190659818,1629112.2509162694,822014.6666666666,822014.6666666666
narwhal_blk_size=262144+diem_blk_len=4,48,1730606.3333333333,1728873.0,1645817.769610243,1593204.3150850434,730606.3333333334,730606.3333333334
narwhal_blk_size=262144+diem_blk_len=4,52,1747367.6666666667,1746479.3333333333,1654645.6424434504,1577798.6814809863,747802.6666666666,747802.6666666666
narwhal_blk_size=262144+diem_blk_len=4,56,1759307.6666666667,1757702.3333333333,1623062.8820389302,1529512.762292662,759307.6666666666,759307.6666666666
narwhal_blk_size=262144+diem_blk_len=4,60,1745985.3333333333,1744313.3333333333,1612719.6978012638,1515979.974996423,747176.3333333334,747176.3333333334
narwhal_blk_size=262144+diem_blk_len=4,64,1713697.6666666667,1713697.6666666667,1566959.0504934231,1448996.464712558,713697.6666666666,713697.6666666666
narwhal_blk_size=65536+diem_blk_len=16,4,1636718.6666666667,1635408.0,655196.1851704331,651066.1601173257,636827.6666666666,636827.6666666666
narwhal_blk_size=65536+diem_blk_len=16,8,1966253.3333333333,1962578.0,988940.6703762254,979606.9895904046,967234.3333333334,967234.3333333334
narwhal_blk_size=65536+diem_blk_len=16,12,2083767.0,2081944.6666666667,1110096.9755741889,1099372.9782932312,1084966.0,1084966.0
narwhal_blk_size=65536+diem_blk_len=16,16,2244382.3333333335,2241782.6666666665,1277265.8750348676,1255307.4736136536,1244382.3333333333,1244382.3333333333
narwhal_blk_size=65536+diem_blk_len=16,20,2379855.6666666665,2377361.0,1430547.5292069651,1397158.5212129124,1381381.6666666667,1381381.6666666667
narwhal_blk_size=65536+diem_blk_len=16,24,2404472.3333333335,2401289.6666666665,1460149.0655745051,1420014.980846042,1405126.3333333333,1405126.3333333333
narwhal_blk_size=65536+diem_blk_len=16,28,2481235.0,2479681.0,1544488.7351753938,1490944.2704663223,1482434.0,1482434.0
narwhal_blk_size=65536+diem_blk_len=16,32,2490169.3333333335,2489053.3333333335,1609442.7892025087,1549427.3112874005,1490387.3333333333,1490387.3333333333
narwhal_blk_size=65536+diem_blk_len=16,36,2457676.0,2457263.0,1584599.8075598944,1537490.2078067034,1457676.0,1457676.0
narwhal_blk_size=65536+diem_blk_len=16,40,2449830.6666666665,2448554.6666666665,1650750.0154525198,1581020.1322936688,1449830.6666666667,1449830.6666666667
narwhal_blk_size=65536+diem_blk_len=16,44,2368735.0,2366822.3333333335,1624430.0052689917,1568191.3353045036,1369389.0,1369389.0
narwhal_blk_size=65536+diem_blk_len=16,48,2249367.0,2248114.3333333335,1517718.1203073205,1470818.4859907574,1251220.0,1251220.0
narwhal_blk_size=65536+diem_blk_len=16,52,2119465.6666666665,2119159.0,1524354.713660148,1466564.9286696997,1120010.6666666667,1120010.6666666667
narwhal_blk_size=65536+diem_blk_len=16,56,1999747.3333333333,1999109.0,1406370.1865809623,1357354.903460959,1002690.3333333334,1002690.3333333334
narwhal_blk_size=65536+diem_blk_len=16,60,1865893.0,1863779.6666666667,1365190.3332371311,1313715.658384335,867092.0,867092.0
narwhal_blk_size=65536+diem_blk_len=16,64,1802837.6666666667,1801035.0,1329642.3961318599,1281888.409972053,803818.6666666666,803818.6666666666
