,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std
correct-type,correct-config,,,,,,,,,,
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=128+beta2=128,0.0,0.0,33.46589675,0.19097441377712554,5.211001391888729e-06,4.30051296863473e-06,11.548328365079366,1.3870144775950628,0.0443218079510912,0.0005474325317539379
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=16+beta2=16,1.780952380952381,1.617022543059281,33.25153795238095,0.1360510242707096,9.334649518915501e-07,1.6168087237610025e-06,4.637888833333333,8.033059099189678,0.0424249108566655,0.0020225927354330154
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=160+beta2=160,0.0,0.0,32.95666716666667,0.5782521659395403,5.105185564694059e-06,4.462094668178763e-06,8.429316966666667,7.342394498190914,0.04310701963790164,0.001082453106925825
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=24+beta2=24,0.08253968253968254,0.14296292379933592,34.23020466666666,0.5367727223973789,6.493572303558806e-06,3.6939496161037017e-06,14.145983999999999,3.3810670611340647,0.043674395264606314,0.0011378603808690978
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=32+beta2=32,0.2833333333333333,0.4907477288111819,34.08834718981482,0.5858655295298483,2.7935230741064065e-06,2.063737779842178e-06,14.176021833333332,2.1473871813080376,0.04364482022323817,0.0024132914124299445
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=4+beta2=4,17.1015873015873,4.70823405068602,25.237733476190474,0.9357715585816402,2.664516538622752e-06,3.2811070202864694e-06,7.965075916666667,7.019702992970805,0.036050343493161115,0.0018685968757157607
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=64+beta2=64,0.0,0.0,33.0272045925926,0.49355482660354694,3.7493447288126636e-06,3.313675834691776e-06,10.566848444444444,0.4666047717392561,0.043472693852341676,0.0013617916636854937
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=8+beta2=8,3.066071428571428,3.879511080233607,29.379263416666664,0.8571933780929444,1.8310142482951733e-06,1.5873235052819322e-06,8.439717,7.309205954647126,0.040955710808683245,0.001686290021232676
Basic,blk_len=40+max_inflight_blk=40+k=10+beta1=96+beta2=96,0.0,0.0,33.06376259259259,1.0029749415692997,8.092240040749117e-06,1.1593093089509753e-05,7.86614611764706,6.998349577207883,0.04346939694192999,0.0017963986831658829
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=128+beta2=128,3.5185185185185177,0.8486251286955256,9.021638603174603,0.19387652241395717,0.0,0.0,0.0,0.0,0.026075584374147726,0.0009476410659576953
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=16+beta2=16,24.044973544973544,5.037219578969699,8.593944939682538,0.2160836179290657,0.0,0.0,0.0,0.0,0.025224352145473083,0.00065857430031541
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=160+beta2=160,2.592592592592593,1.1564811108145185,8.997735555555556,0.09759283535040662,0.0,0.0,0.0,0.0,0.025616287754308117,0.0005269513023606191
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=24+beta2=24,16.115079365079364,2.3772260522936586,8.86270073015873,0.18630803849665606,0.0,0.0,0.0,0.0,0.024966706131424588,0.0006741557174147501
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=32+beta2=32,13.236243386243387,1.6950928712344004,8.803621495238096,0.11353788618590803,0.0,0.0,0.0,0.0,0.02519243978760692,0.00015072668202167094
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=4+beta2=4,88.6190476190476,2.4118048679543946,8.498395209523808,0.15253438542101247,0.0,0.0,0.0,0.0,0.025275177381961528,0.0011681649655933114
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=64+beta2=64,7.588888888888889,0.5023094811118081,8.754554322222221,0.14749009657706738,0.0,0.0,0.0,0.0,0.025341907114212508,0.0018682493988445
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=8+beta2=8,44.25238095238095,8.424466312655143,8.563369952380953,0.16828613128946182,0.0,0.0,0.0,0.0,0.02481385551475525,0.0003740002856147176
Blizzard,blk_len=40+max_inflight_blk=40+k=10+beta1=96+beta2=96,3.9814814814814823,0.5782405554072594,9.012705777777777,0.259315508924796,0.0,0.0,0.0,0.0,0.0251443082372896,0.0006038062351060413
