,time,node,commits
273,390.0,13,94360
274,390.0,17,91920
275,390.0,18,91000
276,390.0,12,90800
277,390.0,1,243000
278,390.0,10,90480
279,390.0,6,91440
280,420.0,3,97880
281,420.0,14,94360
282,420.0,19,97960
283,420.0,4,97800
284,420.0,9,98560
285,420.0,13,98240
286,420.0,2,98760
287,420.0,15,95280
288,420.0,1,258000
289,420.0,16,96520
290,420.0,0,97600
291,420.0,12,98200
292,420.0,5,96240
293,420.0,8,96360
294,420.0,17,99840
295,420.0,11,99680
296,420.0,10,98920
297,420.0,7,96960
298,420.0,6,95160
299,420.0,18,102400
300,450.0,6,98920
301,450.0,13,99840
302,450.0,3,96960
303,450.0,18,98720
304,450.0,1,258800
305,450.0,2,99920
306,450.0,11,97160
307,450.0,17,98440
308,450.0,16,97480
309,450.0,9,99680
310,450.0,8,101000
311,450.0,0,96440
312,450.0,7,97760
313,450.0,19,100440
314,450.0,10,96880
315,450.0,5,98600
316,450.0,15,96600
317,450.0,14,100680
318,450.0,12,97560
319,450.0,4,101520
320,480.0,19,93960
321,480.0,6,91240
322,480.0,7,90360
323,480.0,14,94880
324,480.0,0,92560
325,480.0,17,91840
326,480.0,11,93240
327,480.0,1,260440
328,480.0,5,92280
329,480.0,8,93840
330,480.0,3,91560
331,480.0,4,92280
332,480.0,2,91200
333,480.0,12,93200
334,480.0,10,92920
335,480.0,18,90840
336,480.0,13,93880
337,480.0,15,95080
338,480.0,16,90160
339,480.0,9,95200
340,510.0,4,97920
341,510.0,14,96960
342,510.0,8,94680
343,510.0,0,92960
344,510.0,2,92720
345,510.0,19,95320
346,510.0,13,97720
347,510.0,3,93600
348,510.0,6,98720
349,510.0,12,96920
350,510.0,15,96720
351,510.0,5,94800
352,510.0,10,92240
353,510.0,11,93880
354,510.0,1,259200
355,510.0,18,95640
356,510.0,7,97760
357,510.0,16,97360
358,510.0,9,92400
359,510.0,17,96480
360,540.0,3,93440
361,540.0,13,96280
362,540.0,15,93080
363,540.0,10,95040
364,540.0,5,92440
365,540.0,1,259000
366,540.0,2,92760
367,540.0,7,93600
368,540.0,8,89800
369,540.0,12,93000
370,540.0,16,92760
371,540.0,6,93400
372,540.0,4,93320
373,540.0,11,93480
374,540.0,19,96280
375,540.0,17,93520
376,540.0,14,94960
377,540.0,0,92280
378,540.0,9,94840
379,540.0,18,92720
380,570.0,9,95760
381,570.0,12,94480
382,570.0,16,96120
383,570.0,15,93520
384,570.0,7,93920
385,570.0,6,93080
386,570.0,19,94120
387,570.0,13,96280
388,570.0,10,94400
389,570.0,14,95600
390,570.0,1,151600
391,570.0,2,96360
392,570.0,17,94120
393,570.0,11,96080
394,570.0,8,93920
395,570.0,3,94440
396,570.0,18,97480
397,570.0,0,94560
398,570.0,5,95200
399,570.0,4,95480
